Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
0,856,854,3,3,706,2,150,65,548,2,2003,1710,2,8450,65,196,61,5,7,856,0,2003,2003
644,1766,0,2,2,1121,2,645,85,478,0,2009,1766,0,9187,85,162,130,5,9,1766,0,2009,2009
737,901,900,3,3,0,6,893,72,800,3,2005,1801,2,10463,72,0,116,5,8,893,0,2005,2005
928,1788,0,3,0,0,6,1753,70,522,2,2001,1788,0,11838,70,0,151,5,8,1753,0,2001,2001
576,877,600,3,3,0,6,861,52,216,3,1928,1477,3,6292,52,0,50,7,7,861,0,1928,1950
1400,950,208,3,3,0,6,862,50,208,2,1929,1158,3,6000,50,0,0,7,6,862,0,1929,1950
1324,1795,0,2,0,0,6,1795,75,895,2,2007,1795,2,9986,75,428,49,5,8,1795,0,2006,2007
764,1494,0,2,0,437,3,1057,30,481,0,1995,1494,0,9549,30,0,30,5,8,1494,0,1995,1996
268,778,0,2,3,499,0,241,71,924,3,1966,778,3,6900,71,0,25,6,5,740,0,1940,1955
114,1436,884,3,3,693,0,335,61,180,3,1945,2320,2,7259,61,0,0,8,6,1028,0,1945,2002
587,860,0,2,0,672,0,168,74,528,3,1996,860,3,8740,74,0,0,6,5,840,0,1982,1982
832,941,888,3,3,483,2,458,44,613,2,2003,1829,2,9548,44,223,39,6,7,941,0,2003,2003
665,1454,482,3,3,0,6,1406,106,504,2,2000,1936,2,11194,106,40,124,5,8,1406,188,2000,2000
1149,832,650,3,3,624,0,26,50,324,3,1930,1482,3,9000,50,0,0,9,7,650,0,1920,1988
681,848,672,3,3,182,5,611,55,281,3,1968,1520,3,4500,55,0,0,5,5,793,0,1932,2000
850,848,0,1,0,659,2,189,36,420,0,2003,848,2,4435,36,170,0,5,6,848,140,2003,2003
774,1973,0,3,0,0,6,1935,110,895,0,2006,1973,2,14226,110,375,45,5,8,1935,0,2006,2006
14,1253,0,2,3,733,1,520,70,352,2,1960,1253,3,10920,70,212,213,5,6,1253,0,1960,1960
1100,438,0,1,3,290,5,0,60,246,3,1930,438,1,8400,60,0,0,5,2,290,0,1920,1950
501,902,866,3,3,400,2,466,75,603,2,2005,1768,2,9803,75,0,108,5,7,866,0,2005,2005
94,905,881,3,3,648,2,176,69,684,2,1997,1786,2,9337,69,0,162,5,6,824,0,1997,1997
93,1260,1031,4,2,1046,5,168,60,506,3,1910,2291,3,7200,60,0,0,6,6,1214,0,1910,1998
578,703,689,2,3,0,6,689,34,540,3,2007,1392,2,3604,34,0,102,5,7,689,0,2007,2007
482,916,0,4,3,299,0,611,50,164,3,1915,1826,0,2500,50,0,0,8,7,910,0,1915,2005
381,1301,0,2,3,0,6,1293,60,572,2,2006,1301,2,7200,60,0,121,5,7,1293,0,2006,2006
1264,1337,0,2,3,266,2,1139,34,511,0,1998,1337,2,4060,34,0,68,5,6,1405,0,1998,1999
1454,1221,0,2,3,410,2,811,62,400,2,2004,1221,2,7500,62,0,113,5,7,1221,0,2004,2005
372,752,0,2,3,623,0,121,50,264,3,1984,752,3,7175,50,0,0,5,6,744,0,1984,1984
998,1077,0,3,3,0,6,1007,60,210,3,1922,1077,3,9786,60,0,100,4,3,1007,0,1922,1950
883,954,795,5,3,0,6,795,60,440,3,1997,2230,3,6204,60,0,188,5,4,795,0,1912,1950
792,1127,886,3,0,862,6,255,92,455,3,1997,2013,3,9920,92,0,130,5,7,1117,0,1996,1997
617,832,0,2,3,0,6,832,59,528,3,1962,832,2,7227,59,0,0,6,6,832,0,1954,1954
1028,968,408,3,3,518,5,250,79,240,3,1941,1376,3,9492,79,0,0,5,5,768,0,1941,1950
449,679,504,2,3,331,0,318,50,308,3,1981,1183,3,6000,50,0,176,7,3,649,0,1948,2002
1055,1523,0,2,3,644,0,549,104,478,0,1976,1523,3,11361,104,160,0,5,6,1193,0,1976,1976
1254,896,760,3,3,0,6,746,60,397,0,2003,1656,2,6931,60,92,128,5,7,746,0,2003,2004
196,1726,0,3,3,1126,6,600,79,786,3,2007,1726,0,9416,79,205,138,5,7,1726,0,2007,2007
27,1704,0,3,3,1218,2,486,98,772,3,2008,1704,2,11478,98,200,50,5,8,1704,0,2007,2008
1157,1314,0,2,3,904,2,410,34,626,3,2008,1314,2,5001,34,166,62,5,7,1314,0,2007,2008
639,1567,0,1,0,1154,2,366,53,648,0,2006,1567,0,3982,53,0,0,5,8,1520,0,2006,2006
904,902,0,3,3,599,2,277,70,288,3,1967,902,3,6173,70,75,0,6,5,876,0,1967,1967
393,788,0,2,3,266,5,522,70,0,1,1941,788,3,7446,70,0,0,5,4,788,0,1941,1950
825,2084,0,2,0,1636,2,442,114,1220,0,2007,2084,0,14803,114,816,45,5,10,2078,0,2007,2008
959,720,696,3,3,604,0,92,24,484,3,1999,1416,2,2572,24,0,44,5,7,696,0,1999,1999
606,1040,0,3,3,732,2,308,82,576,3,2000,1040,2,12464,82,0,0,5,5,1040,0,1996,1996
163,882,0,1,3,0,6,882,55,0,1,1956,882,3,5500,55,0,0,6,4,882,0,1956,1956
1312,1453,1357,4,3,482,2,971,70,750,2,1990,2810,2,9572,70,336,0,5,8,1453,0,1990,1990
682,1291,0,2,2,1003,2,288,70,431,3,1996,1291,2,2887,70,0,0,5,6,1291,307,1996,1997
1245,1140,728,3,3,0,6,585,78,477,0,1984,1868,3,12090,78,74,112,7,6,585,0,1984,2003
1247,1034,0,3,0,539,2,473,70,888,3,1976,1034,3,12328,70,335,0,5,6,1012,0,1976,1976
337,1536,0,3,0,810,2,726,70,532,2,2002,1536,2,9135,70,113,74,5,7,1536,0,2002,2003
1433,962,830,3,3,0,6,936,93,451,0,2000,1792,3,10261,93,318,0,5,6,936,0,2000,2000
1036,1620,0,2,1,1022,2,598,89,912,0,2008,1620,0,12898,89,70,0,5,9,1620,0,2007,2008
893,1383,0,3,2,1064,1,319,70,354,3,1954,1383,3,13284,70,0,116,5,5,1383,0,1954,1954
1431,958,0,2,3,958,3,0,70,440,2,1976,958,3,4928,70,0,60,6,6,958,0,1976,1976
285,625,625,2,3,0,6,625,35,528,2,2006,1250,2,4251,35,0,54,5,7,625,0,2006,2007
374,1081,847,4,3,0,6,847,65,434,0,2003,1928,2,8200,65,0,48,5,7,847,0,2003,2004
912,1015,0,3,3,489,5,279,51,450,3,1925,1015,3,6120,51,0,0,7,5,768,0,1925,1950
1098,757,567,3,3,672,1,0,50,240,3,1936,1324,3,6000,50,0,0,6,4,672,0,1936,1950
1396,1687,0,3,0,504,1,243,70,572,3,1966,1687,3,57200,70,0,0,5,5,747,0,1948,1950
435,834,827,3,0,539,2,260,43,550,2,1996,1661,2,10667,43,0,61,6,7,799,0,1996,1996
676,1095,679,4,3,0,6,1095,60,779,3,1920,1774,3,9600,60,0,0,2,4,1095,0,1900,1950
19,1339,0,3,3,504,3,525,70,294,3,1958,1339,3,7560,70,0,0,6,5,1029,0,1958,1965
66,2207,0,3,1,912,2,1035,70,576,2,1970,2207,3,19900,70,287,0,5,7,1947,0,1970,1989
32,1234,0,3,0,0,6,1234,85,484,2,2007,1234,2,11049,85,0,30,5,8,1234,0,2007,2007
441,1440,0,4,3,133,0,1307,92,0,1,1955,1440,1,12108,92,270,0,4,4,1440,0,1955,1955
816,1008,0,2,3,486,1,522,70,275,3,1954,1008,3,11425,70,0,0,6,5,1008,0,1954,1954
1416,1246,1044,4,3,0,6,777,60,560,3,1971,2290,3,11340,60,0,0,6,4,777,0,1885,1950
311,972,0,2,3,680,0,292,50,240,3,1948,972,3,8000,50,0,0,6,6,972,0,1948,2002
404,806,766,3,3,0,6,806,70,373,0,1995,1572,3,10364,70,0,40,5,6,806,0,1995,1996
723,997,0,4,3,0,6,941,60,548,3,1958,1470,3,8172,60,0,0,6,4,941,0,1954,1972
828,1160,966,3,1,249,3,764,70,538,0,1967,2126,3,28698,70,0,0,5,5,1013,0,1967,1967
1141,1088,780,4,3,381,0,399,70,484,3,1976,1868,2,10304,70,44,96,7,5,780,0,1976,1976
1016,1504,0,3,1,690,2,814,73,478,0,1996,1504,2,11883,73,196,66,5,7,1504,0,1996,1996
231,1490,1304,4,3,689,6,773,174,810,0,1995,2794,0,15138,174,506,146,5,8,1462,0,1995,1996
287,858,0,3,3,614,1,244,70,0,1,1971,858,3,8125,70,0,0,4,4,858,0,1971,1971
887,872,521,3,3,0,6,816,59,300,3,1955,1393,3,16466,59,0,0,7,5,816,0,1955,1955
1217,1314,0,3,2,936,2,364,72,552,2,2009,1314,2,8640,72,72,112,5,8,1300,0,2009,2009
418,756,378,3,3,312,0,444,60,240,3,1940,1134,3,8160,60,0,0,6,5,756,0,1940,1950
924,1686,0,3,3,625,1,1061,79,612,3,1980,1686,3,10240,79,157,131,6,6,1686,0,1980,1980
1209,1660,0,3,2,1220,2,440,85,500,2,2006,1660,2,10182,85,420,50,5,8,1660,0,2006,2006
1183,1130,0,2,3,821,6,299,60,720,3,1970,1130,3,10800,60,0,0,6,5,1120,0,1920,1950
903,1670,0,3,3,0,6,1670,50,690,2,2006,1670,2,14859,50,27,60,5,7,1670,0,2006,2006
786,966,686,4,3,686,3,0,60,416,3,1961,1652,3,10800,60,0,0,6,5,686,0,1915,1950
899,1236,0,3,3,465,1,447,65,288,3,1961,1236,3,6993,65,0,0,7,5,912,0,1961,1994
691,2444,1872,4,1,1455,2,989,104,832,0,1994,4316,0,21535,104,1170,50,6,10,2444,382,1994,1995
955,979,979,4,3,484,5,495,82,492,3,1946,1958,3,7136,82,423,0,6,6,979,0,1946,1950
511,1368,0,2,3,0,6,1368,40,474,3,2005,1368,2,6792,40,94,35,5,7,1368,0,2005,2006
1453,1140,0,3,3,0,6,1140,90,0,1,2006,1140,3,17217,90,0,56,5,5,1140,0,2006,2006
1170,1118,0,3,0,522,0,574,76,358,0,1977,1118,3,9880,76,0,0,6,6,1096,0,1977,1977
1375,1571,0,3,1,0,6,1571,89,722,0,2007,1571,2,10991,89,80,36,5,8,1571,0,2007,2007
350,1869,0,2,3,0,6,1869,68,617,2,2007,1869,0,7820,68,362,54,5,9,1869,0,2007,2007
384,1079,874,3,0,985,2,595,70,501,0,1992,1953,2,53107,70,0,231,5,6,1580,0,1992,1992
651,755,755,4,2,0,6,755,60,296,3,1940,1510,3,9084,60,0,0,5,4,755,0,1940,1950
274,816,0,2,1,546,0,270,76,264,3,1982,816,3,8314,76,0,0,7,5,816,0,1982,1982
1253,1516,651,3,1,803,3,389,70,518,2,1974,2167,2,17542,70,0,47,7,7,1192,0,1974,2003
116,1092,0,3,3,736,3,356,70,288,3,1962,1092,3,11616,70,116,20,5,5,1092,0,1962,1962
480,1850,0,3,1,1261,2,572,98,772,0,2004,1850,2,16033,98,378,112,5,9,1833,0,2004,2005
234,1100,860,4,3,625,2,235,70,440,0,2002,1960,2,7851,70,0,48,5,6,860,288,2002,2002
642,2000,704,4,1,1410,6,542,75,538,0,1972,2704,0,13860,75,0,111,7,8,1952,0,1972,1995
613,1120,0,2,3,206,0,914,70,0,1,2007,1120,3,8402,70,0,30,5,5,1120,0,2007,2007
1408,741,622,3,3,0,6,622,60,528,3,1966,1363,3,7740,60,0,0,7,4,622,0,1910,1950
1054,1091,898,3,2,932,2,133,90,586,0,2002,1989,2,11367,90,210,60,5,8,1065,0,2002,2002
119,728,728,3,3,0,6,728,65,390,0,2005,1456,2,8461,65,0,24,5,6,728,0,2005,2006
364,790,784,3,2,712,2,84,70,566,0,1976,1574,3,18800,70,120,111,5,6,796,0,1976,1976
1450,896,896,4,3,0,6,896,60,0,1,1974,1792,3,9000,60,0,45,5,5,896,0,1974,1974
25,1600,0,3,3,0,6,1566,110,890,2,2007,1600,2,14230,110,640,56,5,8,1566,0,2007,2007
1221,1211,0,3,3,642,1,310,55,322,3,1968,1211,3,8250,55,0,63,5,5,952,0,1968,1968
1166,1694,0,2,0,0,6,1694,64,776,3,2008,1694,2,10475,64,72,33,5,8,1694,160,2008,2008
1015,855,810,3,3,643,2,167,70,528,0,2001,1665,2,8400,70,0,45,6,8,810,0,2001,2001
1129,936,0,2,1,936,2,0,60,672,3,1980,936,3,7200,60,180,0,5,5,936,0,1980,1980
1143,1006,0,3,3,288,2,718,70,0,1,1959,1006,3,9000,70,0,24,3,5,1006,0,1959,1959
1457,1188,1152,4,3,275,2,877,66,252,2,1941,2340,2,9042,66,0,60,9,7,1152,0,1941,2006
846,1006,769,3,3,513,0,227,75,425,3,1993,1775,2,9317,75,137,72,5,7,740,0,1993,1993
22,1795,0,3,3,0,6,1777,75,534,2,2002,1795,2,9742,75,281,159,5,8,1777,0,2002,2002
801,1196,0,2,3,197,3,999,40,440,3,1957,1196,3,4800,40,0,0,7,4,1196,0,1916,1990
1385,796,358,3,3,735,1,61,40,240,3,1922,1154,2,5436,40,0,96,8,4,796,0,1922,2007
48,736,716,2,3,0,6,736,33,0,1,1920,1452,3,4456,33,0,0,5,4,736,0,1920,2008
392,882,0,3,4,0,4,0,70,294,2,1959,882,3,8339,70,0,0,7,5,0,0,1959,1959
829,623,520,2,3,0,6,600,24,480,2,2005,1223,2,2544,24,0,166,5,7,600,0,2005,2005
1008,1710,0,3,2,0,6,1710,43,550,3,2004,1710,2,12118,43,108,48,5,7,1710,0,2004,2005
1109,1836,0,3,2,1039,2,797,107,862,0,2004,1836,2,11362,107,42,185,5,8,1836,0,2004,2005
602,988,927,3,2,789,2,119,80,506,0,1992,1915,2,10041,80,0,150,5,8,908,0,1992,1992
63,902,808,3,3,0,6,576,50,480,3,1990,1710,3,10300,50,0,11,6,7,576,0,1921,1950
46,1518,631,1,3,1351,2,83,48,670,2,2003,2149,2,12822,48,0,43,5,7,1434,0,2003,2003
721,848,0,1,0,662,2,186,70,420,3,2004,848,2,4426,70,169,0,5,6,848,0,2004,2004
549,1182,912,4,3,0,6,912,75,615,0,2003,2094,2,9375,75,0,182,5,7,912,0,2003,2004
835,1067,0,2,3,442,1,625,60,436,3,1996,1067,2,9600,60,0,0,7,4,1067,0,1950,1995
595,1826,0,3,1,1422,2,392,69,758,3,2005,1826,2,11302,69,238,75,5,8,1814,180,2005,2006
1265,739,713,3,3,450,2,241,35,506,3,1999,1452,2,3735,35,218,34,5,7,691,0,1999,1999
891,918,765,3,3,619,3,299,70,440,2,1978,1683,3,11184,70,92,0,5,6,918,0,1978,1978
220,1498,0,2,2,0,6,1498,73,675,3,2006,1498,2,8990,73,0,33,5,7,1498,351,2006,2006
648,1051,788,4,3,0,6,756,70,442,3,1966,1839,3,7700,70,351,124,5,6,756,0,1966,1966
833,1516,0,3,3,1022,5,494,100,472,2,1964,1516,3,10004,100,180,0,6,6,1516,0,1964,1964
892,1068,0,3,3,663,2,396,70,264,2,1963,1068,3,8414,70,0,0,8,6,1059,0,1963,2003
181,901,901,4,3,352,3,441,54,216,3,1920,1802,3,7588,54,0,0,6,7,793,0,1920,1950
165,808,547,4,3,434,0,210,62,0,1,1940,1355,3,10106,62,0,0,7,5,644,0,1940,1999
80,1182,960,3,3,448,5,448,100,509,0,1968,2142,2,13000,100,576,72,6,6,896,0,1968,1968
838,1099,0,3,3,0,6,1099,75,352,3,1999,1099,2,9525,75,0,0,6,5,1099,0,1995,2006
1383,1416,0,3,3,0,6,816,70,576,3,2007,1416,2,25339,70,0,0,7,5,816,0,1918,2007
320,1347,1249,4,0,0,6,1249,111,840,2,2006,2596,2,16259,111,370,154,5,9,1249,0,2006,2006
1418,1144,0,3,3,771,1,373,71,336,3,1963,1144,3,9204,71,0,88,5,5,1144,0,1963,1963
988,1118,912,4,3,156,3,692,70,551,0,1976,2030,2,12046,70,298,224,6,6,848,0,1976,1976
561,1389,0,2,0,936,0,453,77,418,2,1975,1389,3,10010,77,0,38,5,5,1389,0,1974,1975
695,1137,0,2,3,749,2,363,54,551,3,1987,1137,2,13811,54,72,0,6,6,1112,0,1987,1987
230,1194,0,3,3,0,6,1194,73,312,2,1959,1194,3,8760,73,220,0,6,6,1194,0,1959,1959
1010,720,551,3,3,0,6,720,115,312,3,1948,1271,3,21286,115,0,0,5,5,720,0,1948,1950
1377,984,620,3,3,663,6,321,60,660,3,1977,1604,3,10998,60,0,68,5,5,984,0,1941,1960
668,1437,0,3,3,988,5,200,70,576,3,1999,1437,3,14175,70,0,0,6,5,1188,0,1956,1987
113,2259,0,3,2,1219,6,590,70,450,3,1953,2259,2,21000,70,184,120,5,6,1809,0,1953,1953
1121,1552,0,3,0,24,2,1528,84,782,3,2005,1552,2,10084,84,196,20,5,7,1552,0,2005,2006
718,1325,1093,3,1,1173,2,138,96,983,2,1993,2418,2,10542,96,651,154,5,7,1311,0,1993,1994
1103,1194,0,3,2,655,0,0,79,539,0,1959,1194,3,8910,79,0,0,6,6,655,0,1959,1959
834,1144,0,3,3,572,5,572,75,456,3,1961,1144,3,7875,75,136,0,6,5,1144,0,1961,1961
1201,913,866,3,0,0,6,866,80,546,2,1998,1779,2,10400,80,0,36,5,7,866,0,1998,1998
460,1103,832,3,3,544,2,288,75,552,0,2009,1935,3,8004,75,110,150,5,8,832,0,2009,2009
78,1768,0,4,3,0,6,1768,72,0,1,1968,1768,3,10778,72,0,0,5,4,1768,0,1968,1968
519,1276,804,3,3,0,6,1276,53,282,3,1926,2080,2,10918,53,0,0,9,7,1276,0,1926,2004
698,894,0,3,3,603,2,291,65,336,3,1973,894,3,8450,65,0,144,8,5,894,416,1965,2009
969,1095,0,2,1,513,0,75,75,264,3,1958,1095,3,10382,75,105,0,5,6,588,0,1958,1958
749,1088,441,4,4,0,4,0,50,240,3,1945,1529,3,8405,50,0,0,3,4,0,0,1945,1950
645,981,0,3,3,661,0,320,70,576,3,1979,981,3,10530,70,0,312,5,6,981,0,1971,1971
763,1268,1097,3,2,1163,2,89,82,856,3,1999,2365,2,9430,82,673,128,5,8,1252,0,1999,1999
1356,892,0,3,3,340,5,524,70,264,2,1966,892,3,9477,70,65,0,5,5,864,0,1966,1966
1114,833,0,2,3,415,5,418,90,326,3,1955,833,2,5400,90,0,0,7,5,833,0,1954,2000
885,1709,0,2,0,1238,2,460,50,506,0,1999,1709,2,5119,50,60,65,5,9,1698,0,1999,2000
341,841,0,2,3,0,6,721,60,294,3,1950,841,3,8400,60,0,0,4,4,721,0,1950,1950
970,720,472,4,3,0,6,720,60,0,1,1949,1192,3,10800,60,0,0,4,4,720,0,1949,1950
856,1026,0,3,1,505,2,435,70,576,3,1981,1026,3,10970,70,0,0,6,6,940,0,1978,1978
277,864,0,2,3,120,3,744,140,400,3,1951,864,3,19138,140,0,0,5,4,864,0,1951,1951
1255,959,408,3,3,425,3,459,52,560,3,1978,1367,3,6240,52,0,0,6,6,884,0,1931,1950
1007,546,0,3,3,273,1,273,21,286,2,1970,1092,3,2217,21,0,0,4,4,546,0,1970,1970
161,1572,1096,3,0,1016,2,556,110,726,0,2003,2668,0,13688,110,664,0,5,9,1572,0,2003,2004
1271,1489,0,3,3,0,6,1489,70,462,2,1968,1489,2,9156,70,0,0,7,6,1489,0,1968,1968
747,1320,1320,4,3,0,6,1240,65,864,3,1950,2640,2,11700,65,0,0,7,7,1240,0,1880,2003
425,707,682,3,3,0,6,651,60,240,3,1947,1389,3,3378,60,0,0,8,7,651,0,1946,1992
1381,2117,0,4,2,865,1,340,70,550,0,1970,2117,3,12925,70,0,42,7,6,1205,0,1970,1970
454,1728,0,4,3,1606,0,122,63,560,3,1976,1728,3,9297,63,0,0,5,5,1728,0,1976,1976
198,929,929,5,3,0,6,755,92,0,1,1912,2229,3,5520,92,0,198,6,6,755,0,1912,1950
592,816,0,2,3,816,6,0,60,816,0,1985,816,3,6600,60,0,0,8,5,816,0,1982,2003
514,789,0,2,3,0,6,768,55,200,3,1926,789,3,10594,55,0,0,5,5,768,0,1926,1950
204,720,564,2,3,312,3,408,50,240,3,1948,1284,3,3500,50,0,35,7,5,720,0,1947,1950
544,664,0,3,0,554,2,100,58,426,2,2006,1496,2,17104,58,0,24,5,7,654,100,2006,2006
1437,1932,0,2,0,1336,2,596,96,774,0,2008,1932,0,12444,96,426,66,5,8,1932,0,2008,2008
704,1484,0,3,0,712,2,761,70,606,2,2004,1484,2,8400,70,109,35,5,7,1473,0,2004,2005
1351,858,858,4,3,319,5,539,70,490,0,1962,1716,3,9247,70,318,84,6,6,858,0,1962,1962
106,1047,0,2,3,0,6,641,60,273,3,1954,1047,3,10800,60,0,0,7,4,641,0,1885,1995
963,1800,0,2,3,0,6,1800,122,702,0,2007,1800,0,11923,122,0,136,5,9,1800,0,2007,2007
803,1734,1088,3,1,0,6,1734,107,1020,2,2009,2822,0,13891,107,424,170,5,9,1734,0,2008,2009
171,1656,0,3,1,639,1,441,141,528,0,1960,1656,3,31770,141,112,62,5,6,1080,0,1960,1960
233,894,0,3,0,182,3,712,75,308,3,1976,894,3,10650,75,0,0,6,5,894,0,1976,1976
98,835,0,2,3,108,0,350,85,366,3,1920,835,3,10625,85,0,0,5,5,458,0,1920,1950
216,1436,0,3,2,946,2,490,65,484,3,2004,1436,2,8450,65,266,98,5,7,1436,139,2004,2004
615,1054,0,3,1,763,2,173,80,480,2,1963,1054,2,8800,80,156,0,7,6,936,0,1963,1963
901,1306,0,2,2,860,1,132,64,756,3,1968,1306,3,8712,64,0,0,7,5,992,0,1957,2000
855,1040,0,3,3,659,0,381,70,260,3,1962,1040,3,6897,70,0,104,8,5,1040,0,1962,2010
10,1040,0,3,3,906,5,134,70,384,3,1965,1040,3,11200,70,0,0,5,5,1040,0,1965,1965
395,1144,0,2,0,739,1,405,68,596,3,1956,1144,3,9571,68,0,0,6,5,1144,44,1956,1956
1251,1405,0,2,3,0,6,1405,70,478,2,2003,1405,2,3136,70,163,36,5,7,1405,0,2003,2003
1086,546,546,3,3,334,1,212,70,286,2,1973,1092,3,1974,70,0,96,5,4,546,0,1973,1973
914,612,612,2,0,294,2,318,30,528,2,2009,1224,2,3000,30,76,234,5,6,612,0,2009,2009
755,742,729,3,3,381,2,348,34,440,3,1999,1471,3,3230,34,894,24,5,6,729,0,1999,1999
139,928,836,3,3,821,2,107,65,470,2,1997,1764,2,15426,65,0,99,5,6,928,0,1997,1997
1132,1178,1032,5,2,0,6,1008,90,205,3,1930,2210,1,9900,90,0,48,4,6,1008,0,1880,1950
