Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
134,1721,0,3,3,570,5,891,,440,2,1968,1721,3,10335,78.0,0.0,96,6,5,1461,,1968,1993,180000
135,1682,0,3,3,0,6,1304,,530,3,1970,1682,3,10400,80.0,288.0,0,6,7,1304,,1970,1970,174000
136,1214,0,2,3,695,1,519,0.0,318,2,1967,1214,3,10355,,196.0,111,5,5,1214,,1967,1967,143000
137,1959,0,5,3,0,6,1907,,766,3,1989,1959,3,11070,82.0,70.0,0,5,7,1907,,1988,1989,171000
138,1004,848,3,2,668,2,336,,660,0,1999,1852,2,9066,73.0,320.0,106,5,8,1004,,1999,2000,230000
139,928,836,3,3,821,2,107,,470,2,1997,1764,2,15426,65.0,0.0,99,5,6,928,,1997,1997,231500
140,864,0,3,3,432,0,432,,0,1,1971,864,3,10500,70.0,0.0,0,5,4,864,,1971,1971,115000
141,1734,0,3,0,1300,2,434,,660,3,2005,1734,2,11645,78.0,0.0,24,5,7,1734,,2005,2005,260000
142,910,0,4,3,507,5,403,,720,3,2000,1385,3,8520,71.0,0.0,0,4,5,910,,1952,1952,166000
143,1501,0,3,1,679,2,811,,577,2,1999,1501,2,10335,78.0,183.0,29,5,7,1490,,1999,1999,204000
144,1728,0,6,3,1332,5,396,,504,3,1963,1728,3,9100,70.0,336.0,0,5,5,1728,0.0,1963,1963,125000
145,970,739,3,3,0,6,970,,380,3,2004,1709,2,2522,24.0,50.0,40,5,6,970,,2004,2006,130000
146,875,0,2,3,209,1,506,,180,3,1931,875,3,6120,51.0,0.0,0,7,5,715,,1931,1993,105000
147,1151,884,3,3,0,6,884,,434,0,2001,2035,2,9505,,180.0,48,5,7,884,,2001,2001,222500
148,1080,0,3,3,680,2,400,0.0,0,1,2004,1080,2,7500,63.0,120.0,0,5,7,1080,,2004,2005,141000
149,896,448,3,3,0,6,896,,240,3,1936,1344,3,6240,,0.0,114,4,5,896,,1936,1950,115000
150,969,0,3,0,716,1,253,,440,3,1975,969,3,10356,120.0,0.0,0,6,5,969,,1975,1975,122000
151,1710,0,2,1,1400,6,310,,866,2,2007,1710,2,13891,107.0,436.0,102,5,8,1710,,2007,2008,372402
152,1097,896,4,3,416,5,409,,495,2,1971,1993,3,14803,,252.0,66,5,6,825,,1971,1971,190000
153,1252,0,1,1,1079,1,523,,564,2,1960,1252,3,13500,,0.0,0,7,6,1602,,1960,1975,235000
154,1200,0,4,3,0,6,1200,,312,3,1923,1200,3,11340,84.0,0.0,0,5,6,1200,,1923,1950,125000
155,572,524,2,3,0,6,572,,0,1,1924,1096,3,9600,60.0,0.0,8,5,6,572,,1924,1950,79000
156,1040,0,2,4,0,4,0,,625,3,1950,1040,3,7200,60.0,0.0,0,7,5,0,,1950,1950,109500
157,1194,774,4,3,0,6,774,,680,0,2009,1968,0,12003,92.0,84.0,75,5,8,774,,2009,2010,269500
158,991,956,3,3,222,2,769,,678,2,2004,1947,2,12552,100.0,0.0,136,5,7,991,,2004,2005,254900
159,1392,1070,4,2,57,2,1335,,576,2,2006,2462,2,19378,134.0,456.0,132,5,7,1392,,2005,2006,320000
160,1232,0,3,3,660,1,572,,516,3,1984,1232,3,11120,,0.0,0,6,6,1232,,1984,1984,162500
161,1572,1096,3,0,1016,2,556,,726,0,2003,2668,0,13688,110.0,664.0,0,5,9,1572,,2003,2004,412500
162,1541,0,3,2,1201,6,340,,532,3,2005,1541,2,12182,95.0,226.0,70,5,7,1541,,2005,2005,220000
163,882,0,1,3,0,6,882,,0,1,1956,882,3,5500,55.0,0.0,0,6,4,882,,1956,1956,103200
164,1149,467,3,2,370,3,779,,216,3,1926,1616,2,5400,40.0,0.0,0,7,6,1149,,1926,2004,152000
165,808,547,4,3,434,0,210,,0,1,1940,1355,3,10106,62.0,0.0,0,7,5,644,,1940,1999,127500
166,1867,0,2,3,1090,3,527,,303,0,1955,1867,3,10708,,0.0,0,5,5,1617,,1955,1993,190000
167,1610,551,3,3,1288,2,294,,789,0,2007,2161,0,10562,86.0,300.0,120,5,8,1582,,2007,2007,325624
168,880,840,3,3,0,6,840,,440,0,2004,1720,2,8244,62.0,0.0,48,5,7,840,,2004,2004,183500
169,1707,0,2,3,0,6,1686,,511,2,1981,1707,3,16669,,653.0,64,6,8,1686,,1981,1981,228000
170,854,0,2,3,360,5,360,,660,3,1991,1382,3,12358,,0.0,0,6,5,720,,1941,1950,128500
171,1656,0,3,1,639,1,441,,528,0,1960,1656,3,31770,141.0,112.0,62,5,6,1080,,1960,1960,215000
172,1064,703,2,3,717,2,347,,504,2,1987,1767,2,5306,44.0,0.0,35,7,7,1064,,1987,1987,239000
173,1362,0,2,3,918,0,444,,504,3,1961,1362,3,10197,80.0,491.0,20,5,6,1362,,1961,1961,163000
174,1651,0,3,3,1398,0,208,,616,0,1986,1651,3,12416,47.0,132.0,0,5,6,1606,,1986,1986,184000
175,2158,0,4,0,477,0,725,,576,3,1950,2158,2,12615,84.0,0.0,29,7,6,1202,,1950,2001,243000
176,1164,896,4,3,831,2,320,,521,3,1988,2060,3,10029,97.0,268.0,228,5,6,1151,0.0,1988,1989,211000
177,1252,668,4,3,709,0,343,,451,3,1958,1920,2,13650,,0.0,0,5,5,1052,,1958,1958,172500
178,2234,0,1,3,1904,2,312,,1166,0,2009,2234,0,17423,63.0,748.0,60,5,9,2216,,2008,2009,501837
179,968,0,2,3,0,6,968,,480,3,1935,968,3,8520,60.0,0.0,0,6,5,968,,1923,2006,100000
180,769,756,3,3,436,2,320,,440,3,2000,1525,2,2117,,456.0,0,5,6,756,,2000,2000,177000
181,901,901,4,3,352,3,441,,216,3,1920,1802,3,7588,54.0,0.0,0,6,7,793,0.0,1920,1950,200100
182,1340,0,3,4,0,4,0,,252,3,1957,1340,3,9060,60.0,98.0,0,6,5,0,,1957,2006,120000
183,1362,720,3,3,0,6,1362,,484,3,2003,2082,2,11426,63.0,0.0,238,5,7,1362,,2003,2003,200000
184,936,316,3,3,0,6,504,,576,3,1986,1252,3,7438,92.0,0.0,0,8,5,504,104.0,1908,1991,127000
185,1518,1518,4,2,0,6,1107,,840,3,1993,3608,0,22950,90.0,0.0,260,9,10,1107,,1892,1993,475000
186,1217,0,3,0,611,2,577,,497,3,1990,1217,2,9947,,0.0,27,5,7,1188,,1990,1991,173000
187,808,704,3,3,0,6,660,,180,3,1916,1656,3,10410,60.0,0.0,0,7,5,660,0.0,1916,1987,135000
188,1224,0,2,0,1086,2,0,,528,3,1979,1224,3,7018,64.0,275.0,0,5,5,1086,,1979,1979,153337
189,1593,0,2,0,1153,2,440,,682,0,2001,1593,0,4923,41.0,0.0,120,5,8,1593,,2001,2002,286000
190,1549,1178,3,3,297,5,556,,440,3,1932,2727,2,10570,70.0,0.0,74,8,8,853,,1932,1994,315000
191,754,725,4,3,626,0,99,,484,0,1972,1479,2,7472,,138.0,32,9,7,725,,1972,2004,184000
192,1431,0,3,0,560,2,871,,666,0,1999,1431,2,9017,68.0,0.0,35,5,7,1431,,1999,1999,192000
193,970,739,3,3,0,6,970,,380,3,2004,1709,2,2522,24.0,50.0,40,5,7,970,,2004,2004,130000
194,864,0,3,0,390,0,474,,352,3,1989,864,3,7180,60.0,0.0,0,7,5,864,,1972,1972,127000
195,855,0,3,3,566,0,289,,440,3,1976,1456,3,2280,24.0,0.0,0,6,6,855,,1976,1976,148500
196,1726,0,3,3,1126,6,600,0.0,786,3,2007,1726,0,9416,79.0,205.0,138,5,7,1726,,2007,2007,311872
197,1360,1360,3,3,916,6,444,,795,3,1918,3112,2,25419,174.0,0.0,16,4,8,1360,,1918,1990,235000
198,929,929,5,3,0,6,755,,0,1,1912,2229,3,5520,92.0,0.0,198,6,6,755,,1912,1950,104000
199,1713,0,3,0,1088,2,625,,856,0,2004,1713,0,9591,76.0,262.0,26,5,8,1713,,2004,2005,274900
200,1121,0,2,3,0,6,1121,,440,2,2003,1121,3,8546,80.0,0.0,64,5,4,1121,,2003,2004,140000
201,1279,0,3,3,806,0,390,,473,3,1980,1279,3,10125,75.0,0.0,83,6,6,1196,,1977,1977,171500
202,865,445,2,3,617,3,0,,398,3,1924,1310,3,7000,50.0,0.0,0,6,6,617,,1924,1950,112000
203,848,0,1,0,662,2,186,0.0,420,2,2004,848,2,4438,,205.0,0,5,6,848,,2004,2004,149000
204,720,564,2,3,312,3,408,,240,3,1948,1284,3,3500,50.0,0.0,35,7,5,720,,1947,1950,110000
205,1442,0,3,3,0,6,1424,,500,3,1990,1442,3,11851,99.0,0.0,34,5,7,1424,,1990,1990,180500
206,1696,0,3,3,0,6,1140,,349,3,1962,1696,3,13673,40.0,0.0,30,5,5,1140,,1962,1962,143900
207,1100,0,3,3,741,0,359,,312,2,1960,1100,3,12493,,0.0,0,5,4,1100,355.0,1960,1960,141000
208,1180,0,3,1,1065,2,92,,454,3,1988,2062,3,14364,,128.0,55,5,7,1157,,1988,1989,277000
209,1092,0,3,3,787,5,305,,504,2,1964,1092,3,8250,75.0,260.0,0,7,6,1092,,1964,1964,145000
210,864,0,2,3,468,5,396,,0,1,1925,864,3,5604,67.0,0.0,0,6,5,864,,1925,1950,98000
211,1212,0,3,2,36,2,1176,0.0,460,2,2009,1212,2,10420,83.0,0.0,22,5,6,1212,,2009,2009,186000
212,932,920,3,3,822,2,78,,644,2,2009,1852,2,8640,72.0,0.0,108,5,7,900,,2009,2009,252678
213,990,0,3,3,716,0,274,,576,3,1996,990,3,13568,43.0,0.0,0,5,5,990,,1995,1995,156000
214,703,689,3,3,378,2,311,,299,0,1977,1392,3,10900,,153.0,36,7,6,689,,1977,1977,161750
215,1236,0,2,3,360,1,710,,447,3,1957,1236,2,10011,72.0,64.0,0,6,5,1070,,1957,1996,134450
216,1436,0,3,2,946,2,490,0.0,484,3,2004,1436,2,8450,65.0,266.0,98,5,7,1436,139.0,2004,2004,210000
217,810,518,3,3,0,6,686,,210,3,1940,1328,3,9906,57.0,0.0,172,4,4,686,,1925,1950,107000
218,1137,817,3,3,341,1,457,,431,3,1939,1954,2,15660,,312.0,119,9,7,798,0.0,1939,2006,311500
219,1248,0,2,0,16,2,1232,,438,0,2005,1248,2,3010,43.0,16.0,0,5,7,1248,,2005,2006,167240
220,1498,0,2,2,0,6,1498,,675,3,2006,1498,2,8990,73.0,0.0,33,5,7,1498,351.0,2006,2006,204900
221,1257,1010,4,3,0,6,1010,,390,2,2002,2267,2,8068,,0.0,46,5,6,1010,,2002,2002,200000
222,811,741,3,3,550,0,163,,434,2,1975,1552,3,11475,85.0,0.0,208,6,6,713,,1975,1975,179900
223,864,0,2,3,582,0,282,,576,3,1989,864,3,10500,70.0,0.0,0,6,4,864,,1971,1971,97000
224,2392,0,3,1,56,2,2336,,968,0,2003,2392,0,13472,103.0,922.0,105,5,10,2392,,2003,2003,386250
225,672,630,3,3,0,6,630,,280,3,1991,1302,3,1680,21.0,142.0,0,5,5,630,,1971,1971,112000
226,1306,1214,4,3,565,2,638,,721,3,1995,2520,2,9950,82.0,290.0,114,5,7,1203,,1995,1995,290000
227,504,483,3,3,321,5,162,,280,3,1987,987,3,1869,21.0,127.0,0,6,6,483,,1970,1970,106000
