Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
28,1600,0,2,1,1277,1,207,47,319,2,1957,1600,3,16321,47,0,258,6,5,1484,0,1957,1997,207500
29,520,0,1,3,0,6,520,60,240,3,1927,520,1,6324,60,0,0,6,4,520,0,1927,1950,68500
30,668,649,3,3,0,6,649,50,250,3,1920,1317,3,8500,50,0,54,4,4,649,0,1920,1950,40000
31,1228,0,3,3,0,6,1228,70,271,3,1966,1228,2,8544,70,0,65,6,5,1228,0,1966,2006,149350
32,1234,0,3,0,0,6,1234,85,484,2,2007,1234,2,11049,85,0,30,5,8,1234,0,2007,2007,179900
33,1700,0,4,3,1018,5,380,70,447,2,1959,1700,2,10552,70,0,38,5,5,1398,0,1959,1959,165500
34,1561,0,2,3,1153,2,408,60,556,0,2005,1561,0,7313,60,246,47,5,9,1561,203,2005,2005,277500
35,1320,1132,4,0,0,6,1117,108,691,3,2004,2452,2,13418,108,132,32,5,8,1117,0,2004,2005,309000
36,1097,0,3,3,0,6,1097,112,672,3,1995,1097,3,10859,112,0,64,5,5,1097,0,1994,1995,145000
37,1297,0,2,3,1213,5,84,74,498,0,1954,1297,3,8532,74,650,0,6,5,1297,0,1954,1990,153000
38,1057,0,3,3,731,2,326,68,246,3,1953,1057,2,7922,68,0,52,7,5,1057,0,1953,2007,109000
39,1152,0,2,4,0,4,0,65,0,1,1955,1152,1,6040,65,0,0,5,4,0,0,1955,1955,82000
40,1324,0,3,3,643,5,445,84,440,3,1965,1324,3,8658,84,101,138,5,6,1088,0,1965,1965,160000
41,1328,0,2,1,967,1,383,115,308,3,1959,1328,3,16905,115,0,104,6,5,1350,0,1959,1959,170000
42,884,0,2,0,747,0,93,70,504,2,1983,884,2,9180,70,0,0,7,5,840,240,1983,1983,144000
43,938,0,3,0,632,3,306,70,308,3,1977,938,3,9200,70,0,0,6,5,938,145,1975,1980,130250
44,1150,0,3,3,775,0,375,70,300,2,1959,1150,3,7945,70,0,0,6,5,1150,0,1959,1959,141000
45,1752,0,2,3,456,2,1296,61,576,2,2005,1752,0,7658,61,412,82,5,9,1752,0,2005,2005,319900
46,1518,631,1,3,1351,2,83,48,670,2,2003,2149,2,12822,48,0,43,5,7,1434,0,2003,2003,239686
47,1656,0,3,0,24,2,1632,84,826,3,2006,1656,2,11096,84,0,146,5,8,1656,0,2006,2006,249700
48,736,716,2,3,0,6,736,33,0,1,1920,1452,3,4456,33,0,0,5,4,736,0,1920,2008,113000
49,955,0,3,3,763,1,192,66,386,3,1966,955,3,7742,66,0,0,7,5,955,0,1966,1966,127000
50,794,676,3,0,182,2,612,70,388,0,1997,1470,3,13869,70,0,75,6,6,794,0,1997,1997,177000
51,816,0,3,3,0,6,816,52,528,3,1985,1176,3,6240,52,0,0,6,6,816,0,1934,1950,114500
52,816,0,2,1,104,3,712,110,516,3,1963,816,3,8472,110,0,0,5,5,816,0,1963,1963,110000
53,1842,0,2,1,1810,2,32,68,894,0,1981,1842,2,50271,68,0,72,5,9,1842,0,1981,1987,385000
54,1360,0,2,3,384,0,0,60,572,3,1962,1360,3,7134,60,0,50,5,5,384,0,1955,1955,130000
55,1425,0,3,3,490,6,935,100,576,2,1964,1425,3,10175,100,272,0,5,6,1425,0,1964,1964,180500
56,983,756,3,3,649,2,321,24,480,0,1999,1739,2,2645,24,456,0,5,8,970,0,1999,2000,172500
57,860,0,3,3,0,6,860,89,565,2,2004,1720,2,11645,89,0,70,5,7,860,0,2004,2004,196500
58,1519,1426,3,1,0,6,1410,66,641,0,2006,2945,2,13682,66,1031,0,5,10,1410,0,2006,2006,438780
59,780,0,2,0,632,0,148,60,352,3,1973,780,3,7200,60,0,0,7,5,780,196,1972,1972,124900
60,1158,0,3,3,941,0,217,63,576,3,2006,1158,2,13072,63,0,50,5,6,1158,0,2004,2004,158000
61,581,530,3,3,0,6,530,60,288,3,1935,1111,1,7200,60,0,0,7,5,530,0,1920,1996,101000
62,1370,0,2,2,24,2,1346,44,484,2,2006,1370,2,6442,44,178,49,5,8,1370,0,2006,2006,202500
63,902,808,3,3,0,6,576,50,480,3,1990,1710,3,10300,50,0,11,6,7,576,0,1921,1950,140000
64,1057,977,3,3,739,2,318,70,645,2,1998,2034,2,9375,70,573,36,5,7,1057,0,1997,1998,219500
65,1330,1143,4,0,0,6,1143,76,852,3,2004,2473,2,9591,76,344,151,5,8,1143,0,2004,2005,317000
66,2207,0,3,1,912,2,1035,70,576,2,1970,2207,3,19900,70,287,0,5,7,1947,0,1970,1989,180000
67,1479,0,3,0,1013,2,440,72,558,2,2003,1479,2,10665,72,167,29,5,7,1453,0,2003,2003,226000
68,747,0,2,3,0,6,747,47,220,3,1945,747,3,4608,47,0,0,6,4,747,0,1945,1950,80000
69,1304,983,3,3,603,1,701,81,667,0,1953,2287,3,15593,81,0,21,4,7,1304,0,1953,1953,225000
70,2223,0,3,1,1880,0,343,95,516,0,1973,2223,3,13651,95,1115,0,6,7,2223,300,1973,1973,244000
71,845,0,2,3,565,0,280,69,360,3,1987,845,3,7599,69,0,0,6,4,845,0,1982,2006,129500
72,885,833,3,3,0,6,832,74,427,0,1998,1718,3,10141,74,40,94,5,7,832,0,1998,1998,185000
73,1086,0,3,3,732,0,354,85,490,3,1989,1086,3,10200,85,104,0,7,5,1086,0,1954,2003,144900
74,840,765,3,3,0,6,840,60,379,3,1915,1605,3,5790,60,0,0,6,3,840,0,1915,1950,107400
75,526,462,2,1,462,2,0,21,297,3,1973,988,3,1596,21,0,101,5,4,462,0,1973,1973,91000
76,952,0,2,3,228,0,724,70,283,3,1956,952,3,8475,70,0,0,7,4,952,0,1956,1956,135750
77,1072,213,2,3,453,1,219,50,240,3,1948,1285,3,8635,50,0,0,5,5,672,0,1948,2001,127000
78,1768,0,4,3,0,6,1768,72,0,1,1968,1768,3,10778,72,0,0,5,4,1768,0,1968,1968,136500
79,682,548,2,3,0,6,440,60,440,3,1966,1230,3,10440,60,0,0,6,5,440,0,1910,1981,110000
80,1182,960,3,3,448,5,448,100,509,0,1968,2142,2,13000,100,576,72,6,6,896,0,1968,1968,193500
81,1337,0,2,3,1201,2,36,32,405,0,1998,1337,3,4500,32,443,199,5,6,1237,0,1998,1998,153500
82,1563,0,3,3,33,2,1530,78,758,2,2007,1563,2,10206,78,468,99,5,8,1563,0,2007,2007,245000
83,1065,0,3,3,0,6,1065,80,461,3,1974,1065,3,8892,80,66,0,5,5,1065,0,1960,1960,126500
84,804,670,3,3,0,6,384,70,400,0,1995,1474,3,8530,70,22,72,5,7,384,120,1995,1996,168500
85,1301,1116,4,3,0,6,1288,121,462,3,1991,2417,2,16059,121,284,82,5,8,1288,127,1991,1992,260000
86,876,684,3,0,0,6,684,122,400,0,2005,1560,2,11911,122,0,38,5,6,684,0,2005,2005,174000
87,612,612,3,0,0,6,612,40,528,2,2009,1224,2,3951,40,76,234,5,6,612,0,2009,2009,164500
88,1013,0,2,3,0,6,1013,105,0,1,1915,1526,1,8470,105,0,0,2,3,1013,0,1915,1982,85000
89,990,0,3,3,588,6,402,60,0,1,1994,990,3,8070,60,0,0,5,4,990,0,1994,1995,123600
90,1040,0,2,4,0,4,0,60,420,3,1950,1040,3,7200,60,0,29,5,4,0,0,1950,1950,109900
91,1235,0,2,3,600,5,635,85,480,3,1961,1235,3,8500,85,203,0,3,5,1235,0,1961,1961,98600
92,964,0,2,3,713,0,163,80,432,3,1921,964,3,13360,80,0,0,7,5,876,0,1921,2006,163500
93,1260,1031,4,2,1046,5,168,60,506,3,1910,2291,3,7200,60,0,0,6,6,1214,0,1910,1998,133900
94,905,881,3,3,648,2,176,69,684,2,1997,1786,2,9337,69,0,162,5,6,824,0,1997,1997,204750
95,790,680,3,3,310,6,370,70,420,0,1993,1470,3,9765,70,68,63,8,6,680,0,1993,1993,185000
96,1588,0,2,0,1162,0,426,78,472,2,1999,1588,2,10264,78,183,29,5,7,1588,0,1999,1999,214000
97,960,0,3,3,520,5,440,73,432,0,1965,960,3,10921,73,48,0,5,4,960,0,1965,1965,94750
98,835,0,2,3,108,0,350,85,366,3,1920,835,3,10625,85,0,0,5,5,458,0,1920,1950,83000
99,1225,0,3,3,569,0,381,77,0,1,1959,1225,3,9320,77,0,0,5,4,950,0,1959,1959,128950
100,1610,0,3,2,1200,0,410,70,480,2,1977,1610,2,10603,70,28,68,7,6,1610,0,1977,2001,205000
101,977,755,3,3,0,6,741,77,476,0,1985,1732,2,9206,77,336,46,5,6,741,0,1985,1985,178000
102,1535,0,4,4,0,4,0,64,410,3,1979,1535,3,7018,64,0,0,5,5,0,0,1979,1979,118964
103,1226,0,2,3,0,6,1226,94,740,2,2009,1226,2,10402,94,0,36,5,7,1226,0,2009,2009,198900
104,1226,592,4,3,224,3,816,70,240,3,1951,1818,3,7758,70,600,0,4,7,1040,0,1931,1950,169500
105,1053,0,3,3,0,6,1053,75,648,2,2003,1992,2,9375,75,768,45,5,8,1053,0,2003,2004,250000
106,1047,0,2,3,0,6,641,60,273,3,1954,1047,3,10800,60,0,0,7,4,641,0,1885,1995,100000
107,789,0,2,3,532,0,257,50,250,3,1948,789,3,6000,50,0,0,5,5,789,0,1948,1950,115000
108,997,0,3,3,0,6,793,85,0,1,1919,1517,1,8500,85,0,0,7,5,793,0,1919,2005,115000
109,1844,0,3,3,705,1,1139,105,546,2,1977,1844,3,11751,105,480,122,6,6,1844,0,1977,1977,190000
110,1216,639,4,3,444,5,550,75,325,3,1954,1855,3,9525,75,0,0,4,6,994,0,1954,1972,136900
111,774,656,3,3,250,2,134,70,400,0,2000,1430,3,7750,70,0,0,5,7,384,0,2000,2000,180000
112,1414,1282,4,0,984,2,280,77,792,3,2007,2696,0,9965,77,220,184,5,7,1264,0,2007,2007,383970
113,2259,0,3,2,1219,6,590,70,450,3,1953,2259,2,21000,70,184,120,5,6,1809,0,1953,1953,217000
114,1436,884,3,3,693,0,335,61,180,3,1945,2320,2,7259,61,0,0,8,6,1028,0,1945,2002,259500
115,729,729,2,3,419,2,310,34,440,3,1999,1458,3,3230,34,1129,32,5,6,729,0,1999,1999,176000
116,1092,0,3,3,736,3,356,70,288,3,1962,1092,3,11616,70,116,20,5,5,1092,0,1962,1962,139000
117,1125,0,2,3,0,6,1125,74,430,3,2007,1125,3,8536,74,0,64,5,5,1125,0,2006,2007,155000
118,1699,1523,5,2,1470,2,203,90,594,3,1990,3222,2,12376,90,0,0,5,7,1673,0,1990,1990,320000
119,728,728,3,3,0,6,728,65,390,0,2005,1456,2,8461,65,0,24,5,6,728,0,2005,2006,163990
120,988,0,1,1,938,0,0,70,540,3,1969,988,3,21453,70,0,130,5,6,938,0,1969,1969,180000
121,772,351,3,3,0,6,732,50,264,3,1979,1123,3,6060,50,0,0,5,4,732,0,1939,1950,100000
122,1080,0,3,3,570,1,510,75,288,3,1958,1080,3,9464,75,135,0,7,6,1080,0,1958,1958,136000
123,1199,0,2,3,300,2,899,55,530,2,1993,1199,2,7892,55,0,63,5,6,1199,0,1993,1993,153900
124,1586,0,3,3,0,6,1362,48,435,3,1979,1586,3,17043,48,0,0,5,6,1362,192,1979,1998,181000
125,520,0,2,0,490,2,30,60,0,1,1935,754,3,6780,60,0,0,8,6,520,0,1935,1982,84500
126,958,0,2,3,120,0,958,70,440,2,1977,958,3,4928,70,0,205,5,6,1078,0,1976,1976,128000
127,840,0,3,3,116,3,556,55,0,1,1930,840,3,4388,55,0,0,7,5,672,0,1930,1950,87000
128,688,660,3,3,512,1,148,69,453,2,1966,1348,3,7590,69,266,108,5,6,660,0,1966,1966,155000
129,1053,0,3,3,679,5,329,69,750,2,1998,1053,0,8973,69,85,80,7,5,1008,0,1958,1991,150000
130,1216,941,4,3,445,5,479,88,487,3,1966,2157,2,14200,88,309,66,6,7,924,0,1966,1966,226000
131,1032,1022,3,3,695,2,297,70,390,2,2000,2054,2,12224,70,40,48,5,6,992,0,2000,2000,244000
132,1327,0,2,3,405,5,658,75,624,3,1974,1327,2,7388,75,0,0,6,5,1063,0,1959,2002,150750
133,1296,0,2,3,1005,2,262,70,471,0,2001,1296,2,6853,70,136,25,5,8,1267,0,2001,2002,220000
134,1721,0,3,3,570,5,891,78,440,2,1968,1721,3,10335,78,0,96,6,5,1461,0,1968,1993,180000
135,1682,0,3,3,0,6,1304,80,530,3,1970,1682,3,10400,80,288,0,6,7,1304,0,1970,1970,174000
136,1214,0,2,3,695,1,519,70,318,2,1967,1214,3,10355,70,196,111,5,5,1214,0,1967,1967,143000
137,1959,0,5,3,0,6,1907,82,766,3,1989,1959,3,11070,82,70,0,5,7,1907,0,1988,1989,171000
138,1004,848,3,2,668,2,336,73,660,0,1999,1852,2,9066,73,320,106,5,8,1004,0,1999,2000,230000
139,928,836,3,3,821,2,107,65,470,2,1997,1764,2,15426,65,0,99,5,6,928,0,1997,1997,231500
140,864,0,3,3,432,0,432,70,0,1,1971,864,3,10500,70,0,0,5,4,864,0,1971,1971,115000
141,1734,0,3,0,1300,2,434,78,660,3,2005,1734,2,11645,78,0,24,5,7,1734,0,2005,2005,260000
142,910,0,4,3,507,5,403,71,720,3,2000,1385,3,8520,71,0,0,4,5,910,0,1952,1952,166000
143,1501,0,3,1,679,2,811,78,577,2,1999,1501,2,10335,78,183,29,5,7,1490,0,1999,1999,204000
144,1728,0,6,3,1332,5,396,70,504,3,1963,1728,3,9100,70,336,0,5,5,1728,0,1963,1963,125000
145,970,739,3,3,0,6,970,24,380,3,2004,1709,2,2522,24,50,40,5,6,970,0,2004,2006,130000
146,875,0,2,3,209,1,506,51,180,3,1931,875,3,6120,51,0,0,7,5,715,0,1931,1993,105000
147,1151,884,3,3,0,6,884,70,434,0,2001,2035,2,9505,70,180,48,5,7,884,0,2001,2001,222500
148,1080,0,3,3,680,2,400,63,0,1,2004,1080,2,7500,63,120,0,5,7,1080,0,2004,2005,141000
149,896,448,3,3,0,6,896,70,240,3,1936,1344,3,6240,70,0,114,4,5,896,0,1936,1950,115000
150,969,0,3,0,716,1,253,120,440,3,1975,969,3,10356,120,0,0,6,5,969,0,1975,1975,122000
151,1710,0,2,1,1400,6,310,107,866,2,2007,1710,2,13891,107,436,102,5,8,1710,0,2007,2008,372402
152,1097,896,4,3,416,5,409,70,495,2,1971,1993,3,14803,70,252,66,5,6,825,0,1971,1971,190000
153,1252,0,1,1,1079,1,523,70,564,2,1960,1252,3,13500,70,0,0,7,6,1602,0,1960,1975,235000
154,1200,0,4,3,0,6,1200,84,312,3,1923,1200,3,11340,84,0,0,5,6,1200,0,1923,1950,125000
155,572,524,2,3,0,6,572,60,0,1,1924,1096,3,9600,60,0,8,5,6,572,0,1924,1950,79000
156,1040,0,2,4,0,4,0,60,625,3,1950,1040,3,7200,60,0,0,7,5,0,0,1950,1950,109500
157,1194,774,4,3,0,6,774,92,680,0,2009,1968,0,12003,92,84,75,5,8,774,0,2009,2010,269500
158,991,956,3,3,222,2,769,100,678,2,2004,1947,2,12552,100,0,136,5,7,991,0,2004,2005,254900
159,1392,1070,4,2,57,2,1335,134,576,2,2006,2462,2,19378,134,456,132,5,7,1392,0,2005,2006,320000
160,1232,0,3,3,660,1,572,70,516,3,1984,1232,3,11120,70,0,0,6,6,1232,0,1984,1984,162500
161,1572,1096,3,0,1016,2,556,110,726,0,2003,2668,0,13688,110,664,0,5,9,1572,0,2003,2004,412500
162,1541,0,3,2,1201,6,340,95,532,3,2005,1541,2,12182,95,226,70,5,7,1541,0,2005,2005,220000
163,882,0,1,3,0,6,882,55,0,1,1956,882,3,5500,55,0,0,6,4,882,0,1956,1956,103200
164,1149,467,3,2,370,3,779,40,216,3,1926,1616,2,5400,40,0,0,7,6,1149,0,1926,2004,152000
165,808,547,4,3,434,0,210,62,0,1,1940,1355,3,10106,62,0,0,7,5,644,0,1940,1999,127500
166,1867,0,2,3,1090,3,527,70,303,0,1955,1867,3,10708,70,0,0,5,5,1617,0,1955,1993,190000
167,1610,551,3,3,1288,2,294,86,789,0,2007,2161,0,10562,86,300,120,5,8,1582,0,2007,2007,325624
168,880,840,3,3,0,6,840,62,440,0,2004,1720,2,8244,62,0,48,5,7,840,0,2004,2004,183500
169,1707,0,2,3,0,6,1686,70,511,2,1981,1707,3,16669,70,653,64,6,8,1686,0,1981,1981,228000
170,854,0,2,3,360,5,360,70,660,3,1991,1382,3,12358,70,0,0,6,5,720,0,1941,1950,128500
171,1656,0,3,1,639,1,441,141,528,0,1960,1656,3,31770,141,112,62,5,6,1080,0,1960,1960,215000
172,1064,703,2,3,717,2,347,44,504,2,1987,1767,2,5306,44,0,35,7,7,1064,0,1987,1987,239000
173,1362,0,2,3,918,0,444,80,504,3,1961,1362,3,10197,80,491,20,5,6,1362,0,1961,1961,163000
174,1651,0,3,3,1398,0,208,47,616,0,1986,1651,3,12416,47,132,0,5,6,1606,0,1986,1986,184000
175,2158,0,4,0,477,0,725,84,576,3,1950,2158,2,12615,84,0,29,7,6,1202,0,1950,2001,243000
176,1164,896,4,3,831,2,320,97,521,3,1988,2060,3,10029,97,268,228,5,6,1151,0,1988,1989,211000
177,1252,668,4,3,709,0,343,70,451,3,1958,1920,2,13650,70,0,0,5,5,1052,0,1958,1958,172500
178,2234,0,1,3,1904,2,312,63,1166,0,2009,2234,0,17423,63,748,60,5,9,2216,0,2008,2009,501837
179,968,0,2,3,0,6,968,60,480,3,1935,968,3,8520,60,0,0,6,5,968,0,1923,2006,100000
180,769,756,3,3,436,2,320,70,440,3,2000,1525,2,2117,70,456,0,5,6,756,0,2000,2000,177000
181,901,901,4,3,352,3,441,54,216,3,1920,1802,3,7588,54,0,0,6,7,793,0,1920,1950,200100
182,1340,0,3,4,0,4,0,60,252,3,1957,1340,3,9060,60,98,0,6,5,0,0,1957,2006,120000
183,1362,720,3,3,0,6,1362,63,484,3,2003,2082,2,11426,63,0,238,5,7,1362,0,2003,2003,200000
184,936,316,3,3,0,6,504,92,576,3,1986,1252,3,7438,92,0,0,8,5,504,104,1908,1991,127000
185,1518,1518,4,2,0,6,1107,90,840,3,1993,3608,0,22950,90,0,260,9,10,1107,0,1892,1993,475000
186,1217,0,3,0,611,2,577,70,497,3,1990,1217,2,9947,70,0,27,5,7,1188,0,1990,1991,173000
187,808,704,3,3,0,6,660,60,180,3,1916,1656,3,10410,60,0,0,7,5,660,0,1916,1987,135000
188,1224,0,2,0,1086,2,0,64,528,3,1979,1224,3,7018,64,275,0,5,5,1086,0,1979,1979,153337
189,1593,0,2,0,1153,2,440,41,682,0,2001,1593,0,4923,41,0,120,5,8,1593,0,2001,2002,286000
190,1549,1178,3,3,297,5,556,70,440,3,1932,2727,2,10570,70,0,74,8,8,853,0,1932,1994,315000
191,754,725,4,3,626,0,99,70,484,0,1972,1479,2,7472,70,138,32,9,7,725,0,1972,2004,184000
192,1431,0,3,0,560,2,871,68,666,0,1999,1431,2,9017,68,0,35,5,7,1431,0,1999,1999,192000
193,970,739,3,3,0,6,970,24,380,3,2004,1709,2,2522,24,50,40,5,7,970,0,2004,2004,130000
194,864,0,3,0,390,0,474,60,352,3,1989,864,3,7180,60,0,0,7,5,864,0,1972,1972,127000
195,855,0,3,3,566,0,289,24,440,3,1976,1456,3,2280,24,0,0,6,6,855,0,1976,1976,148500
196,1726,0,3,3,1126,6,600,79,786,3,2007,1726,0,9416,79,205,138,5,7,1726,0,2007,2007,311872
197,1360,1360,3,3,916,6,444,174,795,3,1918,3112,2,25419,174,0,16,4,8,1360,0,1918,1990,235000
198,929,929,5,3,0,6,755,92,0,1,1912,2229,3,5520,92,0,198,6,6,755,0,1912,1950,104000
199,1713,0,3,0,1088,2,625,76,856,0,2004,1713,0,9591,76,262,26,5,8,1713,0,2004,2005,274900
200,1121,0,2,3,0,6,1121,80,440,2,2003,1121,3,8546,80,0,64,5,4,1121,0,2003,2004,140000
201,1279,0,3,3,806,0,390,75,473,3,1980,1279,3,10125,75,0,83,6,6,1196,0,1977,1977,171500
202,865,445,2,3,617,3,0,50,398,3,1924,1310,3,7000,50,0,0,6,6,617,0,1924,1950,112000
203,848,0,1,0,662,2,186,70,420,2,2004,848,2,4438,70,205,0,5,6,848,0,2004,2004,149000
204,720,564,2,3,312,3,408,50,240,3,1948,1284,3,3500,50,0,35,7,5,720,0,1947,1950,110000
205,1442,0,3,3,0,6,1424,99,500,3,1990,1442,3,11851,99,0,34,5,7,1424,0,1990,1990,180500
206,1696,0,3,3,0,6,1140,40,349,3,1962,1696,3,13673,40,0,30,5,5,1140,0,1962,1962,143900
207,1100,0,3,3,741,0,359,70,312,2,1960,1100,3,12493,70,0,0,5,4,1100,355,1960,1960,141000
208,1180,0,3,1,1065,2,92,70,454,3,1988,2062,3,14364,70,128,55,5,7,1157,0,1988,1989,277000
209,1092,0,3,3,787,5,305,75,504,2,1964,1092,3,8250,75,260,0,7,6,1092,0,1964,1964,145000
210,864,0,2,3,468,5,396,67,0,1,1925,864,3,5604,67,0,0,6,5,864,0,1925,1950,98000
211,1212,0,3,2,36,2,1176,83,460,2,2009,1212,2,10420,83,0,22,5,6,1212,0,2009,2009,186000
212,932,920,3,3,822,2,78,72,644,2,2009,1852,2,8640,72,0,108,5,7,900,0,2009,2009,252678
213,990,0,3,3,716,0,274,43,576,3,1996,990,3,13568,43,0,0,5,5,990,0,1995,1995,156000
214,703,689,3,3,378,2,311,70,299,0,1977,1392,3,10900,70,153,36,7,6,689,0,1977,1977,161750
215,1236,0,2,3,360,1,710,72,447,3,1957,1236,2,10011,72,64,0,6,5,1070,0,1957,1996,134450
216,1436,0,3,2,946,2,490,65,484,3,2004,1436,2,8450,65,266,98,5,7,1436,139,2004,2004,210000
217,810,518,3,3,0,6,686,57,210,3,1940,1328,3,9906,57,0,172,4,4,686,0,1925,1950,107000
218,1137,817,3,3,341,1,457,70,431,3,1939,1954,2,15660,70,312,119,9,7,798,0,1939,2006,311500
219,1248,0,2,0,16,2,1232,43,438,0,2005,1248,2,3010,43,16,0,5,7,1248,0,2005,2006,167240
220,1498,0,2,2,0,6,1498,73,675,3,2006,1498,2,8990,73,0,33,5,7,1498,351,2006,2006,204900
221,1257,1010,4,3,0,6,1010,70,390,2,2002,2267,2,8068,70,0,46,5,6,1010,0,2002,2002,200000
222,811,741,3,3,550,0,163,85,434,2,1975,1552,3,11475,85,0,208,6,6,713,0,1975,1975,179900
223,864,0,2,3,582,0,282,70,576,3,1989,864,3,10500,70,0,0,6,4,864,0,1971,1971,97000
224,2392,0,3,1,56,2,2336,103,968,0,2003,2392,0,13472,103,922,105,5,10,2392,0,2003,2003,386250
225,672,630,3,3,0,6,630,21,280,3,1991,1302,3,1680,21,142,0,5,5,630,0,1971,1971,112000
226,1306,1214,4,3,565,2,638,82,721,3,1995,2520,2,9950,82,290,114,5,7,1203,0,1995,1995,290000
227,504,483,3,3,321,5,162,21,280,3,1987,987,3,1869,21,127,0,6,6,483,0,1970,1970,106000
228,912,0,3,3,842,0,70,70,336,3,1974,912,3,8521,70,0,0,5,5,912,0,1967,1967,125000
229,1555,0,2,0,16,2,1357,43,430,0,2005,1555,2,3182,43,16,20,5,7,1373,0,2005,2006,192500
230,1194,0,3,3,0,6,1194,73,312,2,1959,1194,3,8760,73,220,0,6,6,1194,0,1959,1959,148000
231,1490,1304,4,3,689,6,773,174,810,0,1995,2794,0,15138,174,506,146,5,8,1462,0,1995,1996,403000
232,504,483,2,3,0,6,483,21,288,3,1972,987,3,1680,21,297,0,5,6,483,0,1972,1972,94500
233,894,0,3,0,182,3,712,75,308,3,1976,894,3,10650,75,0,0,6,5,894,0,1976,1976,128200
234,1100,860,4,3,625,2,235,70,440,0,2002,1960,2,7851,70,0,48,5,6,860,288,2002,2002,216500
235,483,0,2,3,358,0,125,21,264,3,1971,987,3,1680,21,604,0,3,6,483,0,1971,1971,89500
